pathogen
infectious disease
infection
communicable disease
transmissible disease
outbreak
epidemic
pandemic
endemic
zoonosis
zoonotic
emerging infection
re-emerging infection
antimicrobial resistance
AMR
drug-resistant infection
multidrug resistant
MDR
extensively drug resistant
XDR
virus
viral
bacterium
bacteria
bacterial
fungus
fungi
fungal
parasite
parasitic
protozoa
protozoan
helminth
worm
prion
infectious agent
microbe
microorganism
pathogen family
strain
lineage
clade
serotype
subtype
variant
acute infection
chronic infection
latent infection
persistent infection
asymptomatic infection
symptomatic infection
co-infection
superinfection
reinfection
primary infection
secondary infection
breakthrough infection
opportunistic infection
invasive infection
localized infection
systemic infection
sepsis
septicemia
bacteremia
viremia
fungemia
parasitemia
transmission
transmissibility
exposure
spillover
reservoir
host
susceptible host
vector
carrier
incubation period
infectious period
chain of infection
contact tracing
surveillance
case
confirmed case
probable case
incidence
prevalence
attack rate
case fatality
mortality
morbidity
outbreak investigation
airborne
droplet
aerosol
respiratory transmission
fecal-oral
bloodborne
sexually transmitted
vertical transmission
mother-to-child transmission
vector-borne transmission
direct contact
indirect contact
fomite
environmental transmission
wastewater surveillance
respiratory infection
pneumonia
influenza-like illness
febrile illness
hemorrhagic fever
encephalitis
meningitis
gastroenteritis
diarrheal disease
enteric infection
bloodstream infection
urinary tract infection
skin and soft tissue infection
sexually transmitted infection
STI
tuberculosis
hepatitis
sepsis
febrile rash illness
Adenoviridae
Anelloviridae
Arenaviridae
Astroviridae
Bornaviridae
Coronaviridae
Filoviridae
Flaviviridae
Hantaviridae
Hepadnaviridae
Hepeviridae
Herpesviridae
Nairoviridae
Orthomyxoviridae
Paramyxoviridae
Parvoviridae
Phenuiviridae
Picobirnaviridae
Picornaviridae
Pneumoviridae
Polyomaviridae
Poxviridae
Retroviridae
Rhabdoviridae
Sedoreoviridae
Spinareoviridae
Togaviridae
Lassa
mammarenavirus lassense
MERS
merbecovirus
SARS
sarbecovirus
Ebola
orthoebolavirus zairense
Sudan virus
orthoebolavirus sudanense
Marburg
orthomarburgvirus marburgense
yellow fever
orthoflavivirus flavi
dengue
orthoflavivirus denguei
Zika
orthoflavivirus zikaense
Hantaan virus
orthohantavirus hantanense
Sin Nombre virus
orthohantavirus sinnombreense
Crimean-Congo hemorrhagic fever
ortho nairovirus haemorrhagiae
influenza A
H1N1
H2N2
H3N2
H5Nx
H6Nx
H7Nx
H10Nx
Nipah
henipavirus nipahense
Dabie bandavirus
chikungunya
alphavirus chikungunya
Venezuelan equine encephalitis
alphavirus venezuelan
mpox
monkeypox
variola
enterovirus coxsackie
HIV-1
Vibrio cholerae
cholera
Yersinia pestis
plague
Shigella dysenteriae serotype 1
shigellosis
Salmonella enterica invasive non-typhoidal serovars
iNTS
Klebsiella pneumoniae
multidrug-resistant Klebsiella
antimicrobial-resistant bacteria
bacterial priority pathogens
mosquito-borne
tick-borne
rodent-borne
bat-borne
avian
swine
animal reservoir
wildlife reservoir
human-animal interface
spillback
pathogen genomics
genomic surveillance
metagenomics
amplicon sequencing
consensus sequence
assembly
variant calling
lineage assignment
phylogeny
phylogenetics
serotyping
virulence gene
resistance gene
antimicrobial resistance gene
pathogen characterisation
genomic surveillance
pathogen surveillance
outbreak surveillance
sentinel surveillance
wastewater surveillance
case surveillance
clinical metadata
epidemiological metadata
linked host-pathogen data
data sharing
GISAID
pathogen portal
